Category,Make,Model,Year,Trim,Min Price,Max Price
Car,Pravaig,Defy,2023,Electric,"Rs. 29,82,636","Rs. 31,67,128"
Car,Pravaig,Defy,2022,Electric,"Rs. 26,54,249","Rs. 28,18,429"
Car,Audi,E-tron,2024,50,"Rs. 88,93,318","Rs. 94,43,420"
Car,Audi,E-tron,2024,55,"Rs. 1,08,80,013","Rs. 1,15,53,003"
Car,Audi,E-tron,2023,50,"Rs. 86,46,376","Rs. 91,81,204"
Car,Audi,E-tron,2023,55,"Rs. 1,05,94,486","Rs. 1,12,49,816"
Car,Audi,E-tron,2022,50,"Rs. 80,34,018","Rs. 85,30,968"
Car,Audi,E-tron,2022,55,"Rs. 93,12,405","Rs. 98,88,431"
Car,Audi,E-tron,2021,50,"Rs. 70,02,800","Rs. 74,35,962"
Car,Audi,E-tron,2021,55,"Rs. 81,15,583","Rs. 86,17,577"
Car,Audi,E-tron Sportback,2024,55,"Rs. 1,04,45,097","Rs. 1,10,91,185"
Car,Audi,E-tron Sportback,2023,55 Technology,"Rs. 1,06,99,514","Rs. 1,13,61,340"
Car,Audi,E-tron Sportback,2022,55,"Rs. 94,37,030","Rs. 1,00,20,764"
Car,Audi,E-tron Sportback,2021,55,"Rs. 82,19,562","Rs. 87,27,988"
Car,Audi,E-tron GT,2024,RS,"Rs. 1,69,94,059","Rs. 1,80,45,237"
Car,Audi,E-tron GT,2024,S,"Rs. 1,49,30,817","Rs. 1,58,54,373"
Car,Audi,E-tron GT,2023,RS,"Rs. 1,64,38,817","Rs. 1,74,55,651"
Car,Audi,E-tron GT,2023,S,"Rs. 1,44,06,006","Rs. 1,52,97,100"
Car,Audi,E-tron GT,2022,RS,"Rs. 1,49,10,234","Rs. 1,58,32,516"
Car,Audi,E-tron GT,2022,S,"Rs. 1,30,87,488","Rs. 1,38,97,024"
Car,Audi,E-tron GT,2021,RS,"Rs. 1,31,91,568","Rs. 1,40,07,542"
Car,Audi,E-tron GT,2021,S,"Rs. 1,15,09,963","Rs. 1,22,21,919"
Car,Audi,Q8 E-tron Sportback,2024,50 Quattro,"Rs. 1,02,88,530","Rs. 1,09,24,934"
Car,Audi,Q8 E-tron Sportback,2024,55 Quattro,"Rs. 1,04,65,972","Rs. 1,11,13,352"
Car,Audi,Q8 E-tron Sportback,2023,50 Quattro,"Rs. 1,00,18,527","Rs. 1,06,38,229"
Car,Audi,Q8 E-tron Sportback,2023,55 Quattro,"Rs. 1,10,68,809","Rs. 1,17,53,477"
Car,Audi,Q8 E-tron,2024,50 Quattro,"Rs. 98,97,103","Rs. 1,05,09,295"
Car,Audi,Q8 E-tron,2024,55 Quattro,"Rs. 1,10,65,287","Rs. 1,17,49,737"
Car,Audi,Q8 E-tron,2023,50 Quattro,"Rs. 96,37,372","Rs. 1,02,33,498"
Car,Audi,Q8 E-tron,2023,55 Quattro,"Rs. 1,06,87,658","Rs. 1,13,48,750"
Car,BMW,IX,2024,XDrive 40,"Rs. 1,02,32,259","Rs. 1,08,65,183"
Car,BMW,IX,2023,XDrive 40,"Rs. 96,56,183","Rs. 1,02,53,473"
Car,MG,ZS EV,2022,EXCITE,"Rs. 16,46,029","Rs. 17,47,845"
Car,MG,ZS EV,2022,EXCLUSIVE,"Rs. 19,24,660","Rs. 20,43,712"
Car,MG,ZS EV,2022,Iconic Ivory,"Rs. 19,88,150","Rs. 21,11,128"
Car,MG,ZS EV,2020,EXCLUSIVE,"Rs. 15,39,614","Rs. 16,34,848"
Car,MG,Comet EV,2024,Pace,"Rs. 6,94,630","Rs. 7,37,596"
Car,MG,Comet EV,2024,Play,"Rs. 8,06,629","Rs. 8,56,523"
Car,MG,Comet EV,2024,Plush,"Rs. 8,66,938","Rs. 9,20,563"
Car,MG,Comet EV,2023,Pace,"Rs. 6,52,702","Rs. 6,93,076"
Car,MG,Comet EV,2023,Pace Gamer Edition,"Rs. 7,05,322","Rs. 7,48,950"
Car,MG,Comet EV,2023,Play,"Rs. 7,57,942","Rs. 8,04,826"
Car,MG,Comet EV,2023,Play Gamer Edition,"Rs. 8,10,562","Rs. 8,60,700"
Car,MG,Comet EV,2023,Plush,"Rs. 8,14,611","Rs. 8,64,999"
Car,MG,Comet EV,2023,Plush Gamer Edition,"Rs. 8,75,511","Rs. 9,29,667"
Car,MINI,Cooper SE,2023,3 Door,"Rs. 39,62,233","Rs. 42,07,319"
Car,MINI,Cooper SE,2022,3 Door,"Rs. 32,62,605","Rs. 34,64,415"
Car,PMV,Eas E,2023,Electric,"Rs. 3,62,235","Rs. 3,84,641"
Car,PMV,Eas E,2022,Electric,"Rs. 3,21,698","Rs. 3,41,596"
Car,Porsche,Taycan,2024,4S,"Rs. 1,47,99,593","Rs. 1,57,15,031"
Car,Porsche,Taycan,2024,GTS,"Rs. 1,71,76,882","Rs. 1,82,39,370"
Car,Porsche,Taycan,2024,RWD,"Rs. 1,35,83,107","Rs. 1,44,23,299"
Car,Porsche,Taycan,2024,TURBO,"Rs. 1,88,26,982","Rs. 1,99,91,538"
Car,Porsche,Taycan,2024,TURBO S,"Rs. 2,05,67,348","Rs. 2,18,39,556"
Car,Porsche,Taycan,2023,4S,"Rs. 1,31,93,051","Rs. 1,40,09,115"
Car,Porsche,Taycan,2023,GTS,"Rs. 1,50,79,906","Rs. 1,60,12,684"
Car,Porsche,Taycan,2023,RWD,"Rs. 1,21,38,100","Rs. 1,28,88,910"
Car,Porsche,Taycan,2023,TURBO,"Rs. 1,68,10,024","Rs. 1,78,49,820"
Car,Porsche,Taycan,2023,TURBO S,"Rs. 1,83,92,451","Rs. 1,95,30,129"
Car,Porsche,Taycan,2022,4S,"Rs. 1,08,93,002","Rs. 1,15,66,796"
Car,Porsche,Taycan,2022,GTS,"Rs. 1,30,47,253","Rs. 1,38,54,299"
Car,Porsche,Taycan,2022,RWD,"Rs. 1,00,26,106","Rs. 1,06,46,278"
Car,Porsche,Taycan,2022,TURBO,"Rs. 1,38,85,017","Rs. 1,47,43,884"
Car,Porsche,Taycan,2022,TURBO S,"Rs. 1,52,81,290","Rs. 1,62,26,524"
Car,Porsche,Taycan,2021,4S,"Rs. 1,01,23,452","Rs. 1,07,49,644"
