Category,Make,Model,Year,Trim,Min Price,Max Price
Car,Jaguar,F-PACE,2023,2.0 R DYNAMIC S DIESEL,"Rs. 63,26,408","Rs. 67,17,732"
Car,Jaguar,F-PACE,2023,2.0 R DYNAMIC S PETROL,"Rs. 61,91,848","Rs. 65,74,848"
Car,Jaguar,F-PACE,2022,2.0 R DYNAMIC S DIESEL,"Rs. 56,16,349","Rs. 59,63,752"
Car,Jaguar,F-PACE,2022,2.0 R DYNAMIC S PETROL,"Rs. 54,97,603","Rs. 58,37,661"
Car,Jaguar,F-PACE,2021,2.0 R DYNAMIC S DIESEL,"Rs. 46,64,839","Rs. 49,53,385"
Car,Jaguar,F-PACE,2021,2.0 R DYNAMIC S PETROL,"Rs. 45,66,197","Rs. 48,48,643"
Car,Jaguar,F-PACE,2021,PRESTIGE PETROL,"Rs. 42,98,106","Rs. 45,63,968"
Car,Jaguar,F-PACE,2020,PRESTIGE,"Rs. 38,33,894","Rs. 40,71,042"
Car,Jaguar,F-PACE,2020,PRESTIGE PETROL,"Rs. 38,83,760","Rs. 41,23,992"
Car,Jaguar,F-PACE,2019,PRESTIGE,"Rs. 34,92,239","Rs. 37,08,253"
Car,Jaguar,F-PACE,2019,PRESTIGE PETROL,"Rs. 33,72,611","Rs. 35,81,227"
Car,Jaguar,F-PACE,2018,PRESTIGE,"Rs. 31,22,175","Rs. 33,15,299"
Car,Jaguar,F-PACE,2017,FIRST EDITION,"Rs. 45,49,176","Rs. 48,30,568"
Car,Jaguar,F-PACE,2017,PRESTIGE,"Rs. 26,51,582","Rs. 28,15,598"
Car,Jaguar,F-PACE,2017,PURE,"Rs. 27,77,510","Rs. 29,49,314"
Car,Jaguar,F-PACE,2017,R-SPORT,"Rs. 41,44,809","Rs. 44,01,189"
Car,Jaguar,F-PACE,2016,FIRST EDITION,"Rs. 40,78,547","Rs. 43,30,829"
Car,Jaguar,F-PACE,2016,PRESTIGE,"Rs. 24,82,309","Rs. 26,35,853"
Car,Jaguar,F-PACE,2016,PURE,"Rs. 24,90,166","Rs. 26,44,196"
Car,Jaguar,F-PACE,2016,R-SPORT,"Rs. 37,16,014","Rs. 39,45,870"
Car,Jaguar,F-Type,2023,2.0 COUPE R DYNAMIC,"Rs. 81,12,480","Rs. 86,14,282"
Car,Jaguar,F-Type,2023,5.0 V8 CONVERTIBLE R-DYNAMIC,"Rs. 1,22,79,219","Rs. 1,30,38,759"
Car,Jaguar,F-Type,2023,5.0 V8 COUPE R-DYNAMIC,"Rs. 1,14,57,271","Rs. 1,21,65,969"
Car,Jaguar,F-Type,2023,5.0 V8 R CONVERTIBLE AWD,"Rs. 2,16,01,515","Rs. 2,29,37,691"
Car,Jaguar,F-Type,2022,2.0 COUPE R DYNAMIC,"Rs. 71,71,211","Rs. 76,14,791"
Car,Jaguar,F-Type,2022,5.0 V8 CONVERTIBLE R-DYNAMIC,"Rs. 1,12,06,255","Rs. 1,18,99,425"
Car,Jaguar,F-Type,2022,5.0 V8 COUPE R-DYNAMIC,"Rs. 1,04,59,483","Rs. 1,11,06,461"
Car,Jaguar,F-Type,2021,2.0 CONVERTIBLE R DYNAMIC BS6,"Rs. 68,61,395","Rs. 72,85,811"
Car,Jaguar,F-Type,2021,2.0 COUPE BS6,"Rs. 63,63,070","Rs. 67,56,662"
Car,Jaguar,F-Type,2021,2.0 COUPE FIRST EDITION,"Rs. 67,35,667","Rs. 71,52,307"
Car,Jaguar,F-Type,2021,2.0 COUPE R DYNAMIC BS6,"Rs. 63,73,336","Rs. 67,67,562"
Car,Jaguar,F-Type,2021,5.0 V8 CONVERTIBLE R-DYNAMIC,"Rs. 94,31,968","Rs. 1,00,15,388"
Car,Jaguar,F-Type,2021,5.0 V8 COUPE FIRST EDITION,"Rs. 90,18,867","Rs. 95,76,735"
Car,Jaguar,F-Type,2021,5.0 V8 COUPE R-DYNAMIC,"Rs. 88,03,899","Rs. 93,48,471"
Car,Jaguar,F-Type,2021,5.0 V8 R CONVERTIBLE AWD,"Rs. 1,68,81,313","Rs. 1,79,25,517"
Car,Jaguar,F-Type,2021,5.0 V8 R COUPE AWD,"Rs. 1,58,71,027","Rs. 1,68,52,739"
Car,Jaguar,F-Type,2020,2.0 CONVERTIBLE R DYNAMIC,"Rs. 62,24,351","Rs. 66,09,363"
Car,Jaguar,F-Type,2020,2.0 COUPE,"Rs. 55,90,477","Rs. 59,36,279"
Car,Jaguar,F-Type,2020,2.0 COUPE FIRST EDITION,"Rs. 59,18,785","Rs. 62,84,895"
Car,Jaguar,F-Type,2020,2.0 COUPE R DYNAMIC,"Rs. 57,66,002","Rs. 61,22,662"
Car,Jaguar,F-Type,2020,5.0 V8 CONVERTIBLE R-DYNAMIC,"Rs. 78,89,219","Rs. 83,77,211"
Car,Jaguar,F-Type,2020,5.0 V8 COUPE FIRST EDITION,"Rs. 75,43,415","Rs. 80,10,019"
Car,Jaguar,F-Type,2020,5.0 V8 COUPE R-DYNAMIC,"Rs. 73,63,225","Rs. 78,18,683"
Car,Jaguar,F-Type,2020,5.0 V8 R CONVERTIBLE AWD,"Rs. 1,41,31,159","Rs. 1,50,05,251"
Car,Jaguar,F-Type,2020,5.0 V8 R COUPE AWD,"Rs. 1,32,85,022","Rs. 1,41,06,776"
Car,Jaguar,F-Type,2020,COUPE,"Rs. 80,87,918","Rs. 85,88,202"
Car,Jaguar,F-Type,2020,R CONVERTIBLE,"Rs. 1,37,99,949","Rs. 1,46,53,555"
Car,Jaguar,F-Type,2020,R COUPE,"Rs. 1,29,28,261","Rs. 1,37,27,947"
Car,Jaguar,F-Type,2020,SVR CONVERTIBLE,"Rs. 1,63,18,413","Rs. 1,73,27,799"
Car,Jaguar,F-Type,2020,SVR COUPE,"Rs. 1,54,47,264","Rs. 1,64,02,764"
Car,Jaguar,F-Type,2019,COUPE,"Rs. 74,04,004","Rs. 78,61,984"
Car,Jaguar,F-Type,2019,R CONVERTIBLE,"Rs. 1,26,33,025","Rs. 1,34,14,449"
Car,Jaguar,F-Type,2019,R COUPE,"Rs. 1,18,35,047","Rs. 1,25,67,111"
Car,Jaguar,F-Type,2019,S CONVERTIBLE,"Rs. 87,74,154","Rs. 93,16,886"
Car,Jaguar,F-Type,2019,S COUPE,"Rs. 79,77,781","Rs. 84,71,251"
Car,Jaguar,F-Type,2019,SVR CONVERTIBLE,"Rs. 1,49,38,528","Rs. 1,58,62,560"
Car,Jaguar,F-Type,2019,SVR COUPE,"Rs. 1,41,41,042","Rs. 1,50,15,746"
Car,Jaguar,F-Type,2018,2.0 Convertible,"Rs. 48,73,858","Rs. 51,75,334"
