Category,Make,Model,Year,Trim,Min Price,Max Price
Bikes,Ultraviolette,F77,2023,Limited,"Rs. 4,45,350","Rs. 4,72,898"
Bikes,Ultraviolette,F77,2023,Recon,"Rs. 3,69,144","Rs. 3,91,978"
Bikes,Ultraviolette,F77,2023,STD,"Rs. 3,08,981","Rs. 3,28,093"
Bikes,Ultraviolette,F77,2022,Limited,"Rs. 3,83,078","Rs. 4,06,774"
Bikes,Ultraviolette,F77,2022,Recon,"Rs. 3,16,910","Rs. 3,36,512"
Bikes,Ultraviolette,F77,2022,STD,"Rs. 2,64,672","Rs. 2,81,044"
Bikes,Hop,OXO,2023,Base,"Rs. 1,40,789","Rs. 1,49,497"
Bikes,Hop,OXO,2023,Pro,"Rs. 1,53,198","Rs. 1,62,674"
Bikes,Hop,OXO,2022,STD,"Rs. 92,108","Rs. 97,806"
Bikes,Hop,OXO,2022,X,"Rs. 1,03,160","Rs. 1,09,542"
Bikes,Kabira Mobility,KM3000,2023,STANDARD,"Rs. 1,06,043","Rs. 1,12,603"
Bikes,Kabira Mobility,KM3000,2022,STANDARD,"Rs. 90,369","Rs. 95,959"
Bikes,Kabira Mobility,KM3000,2021,STANDARD,"Rs. 78,387","Rs. 83,235"
Bikes,Kabira Mobility,KM4000,2023,STANDARD,"Rs. 1,17,617","Rs. 1,24,893"
Bikes,Kabira Mobility,KM4000,2022,STANDARD,"Rs. 92,536","Rs. 98,260"
Bikes,Kabira Mobility,KM4000,2021,STANDARD,"Rs. 80,267","Rs. 85,231"
Bikes,Komaki,Ranger,2023,STD,"Rs. 1,52,964","Rs. 1,62,426"
Bikes,Komaki,Ranger,2022,STD,"Rs. 1,18,587","Rs. 1,25,923"
Bikes,Pure EV,EcoDryft,2023,STD,"Rs. 99,425","Rs. 1,05,575"
Bikes,Pure EV,Etryst 350,2023,Standard,"Rs. 1,28,379","Rs. 1,36,319"
Bikes,Pure EV,Etryst 350,2022,Standard,"Rs. 1,14,214","Rs. 1,21,278"
Bikes,Revolt,RV300,2021,STANDARD,"Rs. 70,273","Rs. 74,619"
Bikes,Revolt,RV300,2020,STANDARD,"Rs. 58,249","Rs. 61,853"
Bikes,Revolt,RV300,2019,STANDARD,"Rs. 50,449","Rs. 53,569"
Bikes,Revolt,RV400,2021,PREMIUM,"Rs. 93,366","Rs. 99,142"
Bikes,Revolt,RV400,2021,STANDARD,"Rs. 81,684","Rs. 86,736"
Bikes,Revolt,RV400,2020,PREMIUM,"Rs. 78,832","Rs. 83,708"
Bikes,Revolt,RV400,2020,STANDARD,"Rs. 68,976","Rs. 73,242"
Bikes,Revolt,RV400,2019,PREMIUM,"Rs. 68,508","Rs. 72,746"
Bikes,Revolt,RV400,2019,STANDARD,"Rs. 60,120","Rs. 63,838"
Bikes,Tork Motors,Kratos,2023,R,"Rs. 1,46,542","Rs. 1,55,606"
Bikes,Tork Motors,Kratos,2023,Standard,"Rs. 1,10,445","Rs. 1,17,277"
Bikes,Tork Motors,Kratos,2022,R,"Rs. 84,439","Rs. 89,662"
Bikes,Tork Motors,Kratos,2022,Standard,"Rs. 74,306","Rs. 78,902"
